time,model_id,model_name,port_name,data
0,1,(27,27),,-1
0,2,(26,27),,-1
0,3,(25,27),,-1
0,4,(23,27),,-1
0,5,(21,27),,-1
0,6,(19,27),,-1
0,7,(16,27),,-1
0,8,(15,27),,-1
0,9,(11,27),,-1
0,10,(8,27),,-1
0,11,(7,27),,-1
0,12,(6,27),,-1
0,13,(1,27),,-1
0,14,(27,26),,-1
0,15,(24,26),,-1
0,16,(22,26),,-1
0,17,(17,26),,-1
0,18,(15,26),,-1
0,19,(14,26),,-1
0,20,(11,26),,-1
0,21,(9,26),,-1
0,22,(8,26),,-1
0,23,(4,26),,-1
0,24,(3,26),,-1
0,25,(9,27),,-1
0,26,(0,26),,-1
0,27,(22,25),,-1
0,28,(21,25),,-1
0,29,(20,25),,-1
0,30,(19,25),,-1
0,31,(17,25),,-1
0,32,(15,25),,-1
0,33,(14,25),,-1
0,34,(12,25),,-1
0,35,(11,25),,-1
0,36,(9,25),,-1
0,37,(6,25),,-1
0,38,(5,25),,-1
0,39,(4,25),,-1
0,40,(3,25),,-1
0,41,(1,25),,-1
0,42,(27,24),,-1
0,43,(26,24),,-1
0,44,(25,24),,-1
0,45,(20,24),,-1
0,46,(18,24),,1
0,47,(17,24),,-1
0,48,(15,24),,-1
0,49,(14,24),,-1
0,50,(11,24),,-1
0,51,(1,24),,-1
0,52,(27,23),,-1
0,53,(26,23),,-1
0,54,(25,23),,-1
0,55,(24,23),,-1
0,56,(22,23),,-1
0,57,(20,23),,-1
0,58,(18,23),,1
0,59,(17,23),,-1
0,60,(16,23),,-1
0,61,(15,23),,-1
0,62,(13,23),,-1
0,63,(12,23),,-1
0,64,(10,23),,-1
0,65,(7,23),,-1
0,66,(6,23),,-1
0,67,(5,23),,-1
0,68,(4,23),,-1
0,69,(2,23),,-1
0,70,(23,25),,-1
0,71,(1,23),,-1
0,72,(27,22),,-1
0,73,(26,22),,-1
0,74,(25,22),,-1
0,75,(8,23),,-1
0,76,(22,22),,-1
0,77,(19,22),,1
0,78,(18,22),,1
0,79,(17,22),,-1
0,80,(14,22),,-1
0,81,(13,22),,-1
0,82,(5,27),,-1
